"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GPAM",0,5.68399955355408,0.997,0.606,0,"Adipocytes","GPAM"
"ACACB",0,4.98067415540687,0.994,0.573,0,"Adipocytes","ACACB"
"PDE3B",0,4.57169964908405,0.994,0.578,0,"Adipocytes","PDE3B"
"SORBS1",0,4.45981145408948,0.995,0.711,0,"Adipocytes","SORBS1"
"ASPH",0,4.24275137527099,0.995,0.445,0,"Adipocytes","ASPH"
"AL136119.1",0,3.75842453493413,0.96,0.62,0,"Adipocytes","AL136119.1"
"MGST1",0,3.74308370597458,0.988,0.429,0,"Adipocytes","MGST1"
"GHR",0,3.61133630011573,0.994,0.72,0,"Adipocytes","GHR"
"TNS1",0,3.52919581717743,0.992,0.603,0,"Adipocytes","TNS1"
"PRKAR2B",0,3.4756836070373,0.965,0.461,0,"Adipocytes","PRKAR2B"
"GYG2",0,3.46343177158544,0.975,0.464,0,"Adipocytes","GYG2"
"PPARG",0,3.44950133846089,0.992,0.557,0,"Adipocytes","PPARG"
"DIRC3",0,3.43599487931828,0.98,0.471,0,"Adipocytes","DIRC3"
"SIK2",0,3.42956160839,0.985,0.56,0,"Adipocytes","SIK2"
"TRHDE-AS1",0,3.34910886766331,0.96,0.499,0,"Adipocytes","TRHDE-AS1"
"AQP7",0,3.32807742162211,0.977,0.586,0,"Adipocytes","AQP7"
"LRP1B",0,3.30589343707861,0.935,0.447,0,"Adipocytes","LRP1B"
"CCDC3",0,3.21400016912415,0.947,0.541,0,"Adipocytes","CCDC3"
"EBF1",0,3.20928887792101,0.997,0.737,0,"Adipocytes","EBF1"
"ADIPOQ",0,3.1036779910724,0.958,0.621,0,"Adipocytes","ADIPOQ"
"SOX5",0,3.02324469986308,0.997,0.662,0,"Adipocytes","SOX5"
"CLSTN2",0,3.01048573911544,0.849,0.499,0,"Adipocytes","CLSTN2"
"LPL",0,2.93096506280702,0.905,0.525,0,"Adipocytes","LPL"
"LINC00598",0,2.88667824120656,0.923,0.477,0,"Adipocytes","LINC00598"
"LINC02607",0,2.87855361077514,0.942,0.564,0,"Adipocytes","LINC02607"
"SLC19A3",0,2.86253274477312,0.948,0.49,0,"Adipocytes","SLC19A3"
"TENM3",0,2.84814231188192,0.974,0.639,0,"Adipocytes","TENM3"
"PLIN1",0,2.79954313660704,0.945,0.553,0,"Adipocytes","PLIN1"
"LIMCH1",0,2.7128332008201,0.977,0.522,0,"Adipocytes","LIMCH1"
"COL4A2",0,2.71066369581891,0.982,0.636,0,"Adipocytes","COL4A2"
"COL4A1",0,2.69735598805793,0.976,0.626,0,"Adipocytes","COL4A1"
"CD36",0,2.67308111735346,0.986,0.564,0,"Adipocytes","CD36"
"TLN2",0,2.66817587947537,0.983,0.642,0,"Adipocytes","TLN2"
"DMD",0,2.63293376443312,0.972,0.666,0,"Adipocytes","DMD"
"AC002066.1",0,2.51607791465608,0.938,0.603,0,"Adipocytes","AC002066.1"
"WDPCP",0,2.46861387194514,0.979,0.656,0,"Adipocytes","WDPCP"
"RHOBTB3",0,2.46442708792912,0.965,0.488,0,"Adipocytes","RHOBTB3"
"PTGER3",0,2.45458489033122,0.959,0.671,0,"Adipocytes","PTGER3"
"LINC02237",0,2.39705717608236,0.941,0.633,0,"Adipocytes","LINC02237"
"TMEM132C",0,2.38669488669235,0.948,0.741,0,"Adipocytes","TMEM132C"
"PFKFB1",0,2.38004039046862,0.911,0.584,0,"Adipocytes","PFKFB1"
"GBE1",0,2.36256914080606,0.967,0.506,0,"Adipocytes","GBE1"
"KCNIP2-AS1",0,2.34956559635942,0.849,0.383,0,"Adipocytes","KCNIP2-AS1"
"LIPE-AS1",0,2.34457836732798,0.929,0.369,0,"Adipocytes","LIPE-AS1"
"PLIN4",0,2.34144329870456,0.862,0.51,0,"Adipocytes","PLIN4"
"ACVR1C",0,2.33447661612536,0.916,0.548,0,"Adipocytes","ACVR1C"
"ITGA7",0,2.32947118378042,0.911,0.508,0,"Adipocytes","ITGA7"
"PLIN5",0,2.31186191749103,0.918,0.551,0,"Adipocytes","PLIN5"
"PLAAT3",0,2.30085876557185,0.932,0.531,0,"Adipocytes","PLAAT3"
"SLC16A7",0,2.28100491898529,0.946,0.39,0,"Adipocytes","SLC16A7"
"ELMOD3",0,2.27251708803984,0.913,0.335,0,"Adipocytes","ELMOD3"
"C2CD2",0,2.25592240926463,0.944,0.358,0,"Adipocytes","C2CD2"
"AL139383.1",0,2.25275120262385,0.944,0.574,0,"Adipocytes","AL139383.1"
"PCDH9",0,2.24504387622437,0.964,0.671,0,"Adipocytes","PCDH9"
"HOOK2",0,2.23956338543781,0.927,0.372,0,"Adipocytes","HOOK2"
"PALMD",0,2.23382919516056,0.953,0.57,0,"Adipocytes","PALMD"
"ANO6",0,2.22461165032354,0.978,0.572,0,"Adipocytes","ANO6"
"PPP2R1B",0,2.22211272774605,0.908,0.541,0,"Adipocytes","PPP2R1B"
"VKORC1L1",0,2.21186291704794,0.949,0.393,0,"Adipocytes","VKORC1L1"
"GPC6",0,2.20921444426845,0.932,0.527,0,"Adipocytes","GPC6"
"MAOA",0,2.19464441848391,0.873,0.614,0,"Adipocytes","MAOA"
"LINC02240",0,2.18538642918619,0.901,0.561,0,"Adipocytes","LINC02240"
"LIPE",0,2.17827442939108,0.89,0.403,0,"Adipocytes","LIPE"
"ADH1B",0,2.17147186159608,0.968,0.682,0,"Adipocytes","ADH1B"
"DAPK2",0,2.17114298820763,0.934,0.554,0,"Adipocytes","DAPK2"
"AC007529.2",0,2.17070605869931,0.874,0.459,0,"Adipocytes","AC007529.2"
"PNPLA2",0,2.16705357257413,0.886,0.402,0,"Adipocytes","PNPLA2"
"PFKFB3",0,2.15538262123128,0.964,0.594,0,"Adipocytes","PFKFB3"
"AC004160.1",0,2.14272810137697,0.958,0.63,0,"Adipocytes","AC004160.1"
"GSE1",0,2.13759575410091,0.985,0.653,0,"Adipocytes","GSE1"
"ACSL1",0,2.13260223945887,0.959,0.512,0,"Adipocytes","ACSL1"
"MAPK10",0,2.11173500210383,0.988,0.729,0,"Adipocytes","MAPK10"
"LVRN",0,2.09246422514375,0.887,0.354,0,"Adipocytes","LVRN"
"KCNIP2",0,2.08109203874521,0.925,0.491,0,"Adipocytes","KCNIP2"
"COBLL1",0,2.07752724237684,0.972,0.603,0,"Adipocytes","COBLL1"
"FAM13A",0,2.06777799392529,0.972,0.715,0,"Adipocytes","FAM13A"
"TRHDE",0,2.0630477261111,0.891,0.585,0,"Adipocytes","TRHDE"
"MARC1",0,2.05834840900908,0.898,0.618,0,"Adipocytes","MARC1"
"PALM2-AKAP2",0,2.05001721382368,0.972,0.579,0,"Adipocytes","PALM2-AKAP2"
"PDZRN3",0,2.02246264546448,0.966,0.757,0,"Adipocytes","PDZRN3"
"CIDEA",0,2.0057076078943,0.888,0.503,0,"Adipocytes","CIDEA"
"SPATA9",0,1.99844782514752,0.882,0.375,0,"Adipocytes","SPATA9"
"C8orf34",0,1.97467688455231,0.901,0.607,0,"Adipocytes","C8orf34"
"IRS2",0,1.96201447204851,0.933,0.605,0,"Adipocytes","IRS2"
"GRK3",0,1.95377281702291,0.958,0.704,0,"Adipocytes","GRK3"
"RETSAT",0,1.95024132536393,0.91,0.412,0,"Adipocytes","RETSAT"
"ACSS2",0,1.94147868990602,0.924,0.55,0,"Adipocytes","ACSS2"
"MLXIPL",0,1.9369681896673,0.861,0.405,0,"Adipocytes","MLXIPL"
"ALDH2",0,1.93077856780069,0.924,0.555,0,"Adipocytes","ALDH2"
"GPD1",0,1.91911674728866,0.858,0.461,0,"Adipocytes","GPD1"
"SLC7A6",0,1.90925232670284,0.905,0.287,0,"Adipocytes","SLC7A6"
"CARMN",0,1.89647732029888,0.944,0.743,0,"Adipocytes","CARMN"
"RNF150",0,1.89448971746811,0.966,0.68,0,"Adipocytes","RNF150"
"MIR193BHG",0,1.89394622083685,0.882,0.275,0,"Adipocytes","MIR193BHG"
"LINC00968",0,1.88916702875619,0.866,0.473,0,"Adipocytes","LINC00968"
"BCL2",0,1.8745474634037,0.976,0.78,0,"Adipocytes","BCL2"
"ADAMTS12",0,1.86692723539788,0.964,0.765,0,"Adipocytes","ADAMTS12"
"VLDLR-AS1",0,1.85151855207753,0.954,0.85,0,"Adipocytes","VLDLR-AS1"
"DGAT2",0,1.81237576511157,0.858,0.502,0,"Adipocytes","DGAT2"
"KLB",0,1.8122266093033,0.895,0.507,0,"Adipocytes","KLB"
"EEPD1",0,1.78841901774595,0.949,0.648,0,"Adipocytes","EEPD1"
"PECR",0,1.7828241837773,0.813,0.378,0,"Adipocytes","PECR"
"GSN",0,1.77789585946512,0.96,0.668,0,"Adipocytes","GSN"
"EMP1",0,1.7727798173644,0.951,0.598,0,"Adipocytes","EMP1"
"SORT1",0,1.75320868720608,0.883,0.463,0,"Adipocytes","SORT1"
"HACD2",0,1.74461893344225,0.875,0.298,0,"Adipocytes","HACD2"
"CLMP",0,1.73558587589496,0.933,0.674,0,"Adipocytes","CLMP"
"TGFBR3",0,1.73455681698493,0.94,0.56,0,"Adipocytes","TGFBR3"
"KANK4",0,1.73397239249109,0.927,0.78,0,"Adipocytes","KANK4"
"MMD",0,1.71948730285535,0.799,0.438,0,"Adipocytes","MMD"
"ATP1A2",0,1.71854489943638,0.782,0.466,0,"Adipocytes","ATP1A2"
"AP001528.1",0,1.71142643030342,0.95,0.69,0,"Adipocytes","AP001528.1"
"GPT2",0,1.69953478431868,0.876,0.372,0,"Adipocytes","GPT2"
"FZD4",0,1.69235444726546,0.905,0.437,0,"Adipocytes","FZD4"
"CDH20",0,1.68951385078462,0.737,0.311,0,"Adipocytes","CDH20"
"AC025470.2",0,1.68410423443837,0.803,0.505,0,"Adipocytes","AC025470.2"
"CACNA2D1",0,1.68248005754706,0.963,0.731,0,"Adipocytes","CACNA2D1"
"ZNF117",0,1.64398170649085,0.807,0.266,0,"Adipocytes","ZNF117"
"LINC02615",0,1.63606068580907,0.887,0.526,0,"Adipocytes","LINC02615"
"AL353586.1",0,1.62937726670979,0.703,0.371,0,"Adipocytes","AL353586.1"
"APCDD1",0,1.62815315225273,0.853,0.602,0,"Adipocytes","APCDD1"
"TRARG1",0,1.62738104466847,0.856,0.466,0,"Adipocytes","TRARG1"
"HK2",0,1.61870270152092,0.779,0.393,0,"Adipocytes","HK2"
"CPM",0,1.61815710107269,0.894,0.631,0,"Adipocytes","CPM"
"DGKI",0,1.60658816106741,0.742,0.484,0,"Adipocytes","DGKI"
"CIDEC",0,1.59699521160588,0.822,0.418,0,"Adipocytes","CIDEC"
"LINC02613",0,1.59562971001857,0.892,0.489,0,"Adipocytes","LINC02613"
"AC019197.1",0,1.5872216795599,0.774,0.325,0,"Adipocytes","AC019197.1"
"ANKRD30A",0,1.57645175276574,0.771,0.316,0,"Adipocytes","ANKRD30A"
"AUXG01000058.1",0,1.56942889310884,0.914,0.499,0,"Adipocytes","AUXG01000058.1"
"PLXNA4",0,1.56653209218081,0.929,0.732,0,"Adipocytes","PLXNA4"
"PSMA1",0,1.52517034101317,0.876,0.423,0,"Adipocytes","PSMA1"
"ADCY5",0,1.52484231428932,0.833,0.507,0,"Adipocytes","ADCY5"
"LINC00632",0,1.51724834306838,0.857,0.357,0,"Adipocytes","LINC00632"
"UGP2",0,1.49751177720145,0.885,0.44,0,"Adipocytes","UGP2"
"PHLDB2",0,1.49478741604081,0.953,0.719,0,"Adipocytes","PHLDB2"
"PRXL2A",0,1.49165140016299,0.84,0.441,0,"Adipocytes","PRXL2A"
"GLYAT",0,1.48383268356247,0.816,0.522,0,"Adipocytes","GLYAT"
"AC006387.1",0,1.4636101095156,0.692,0.269,0,"Adipocytes","AC006387.1"
"AGPAT2",0,1.4631006115846,0.856,0.396,0,"Adipocytes","AGPAT2"
"ABCD2",0,1.45845920042312,0.833,0.394,0,"Adipocytes","ABCD2"
"HULC",0,1.45736949111742,0.882,0.625,0,"Adipocytes","HULC"
"LINC01301",0,1.44335742291488,0.75,0.515,0,"Adipocytes","LINC01301"
"AC087482.1",0,1.43657305962131,0.798,0.327,0,"Adipocytes","AC087482.1"
"NTM",0,1.43012743092424,0.952,0.727,0,"Adipocytes","NTM"
"MRAS",0,1.42125060130466,0.885,0.472,0,"Adipocytes","MRAS"
"GLCCI1",0,1.41436498727258,0.9,0.558,0,"Adipocytes","GLCCI1"
"PC",0,1.40933142010653,0.72,0.433,0,"Adipocytes","PC"
"NPY1R",0,1.40531912500858,0.842,0.73,0,"Adipocytes","NPY1R"
"ITIH5",0,1.39759698625356,0.88,0.504,0,"Adipocytes","ITIH5"
"RDH5",0,1.38506112845039,0.762,0.35,0,"Adipocytes","RDH5"
"C19orf12",0,1.38285250056426,0.852,0.441,0,"Adipocytes","C19orf12"
"GNAI1",0,1.36847866498381,0.852,0.613,0,"Adipocytes","GNAI1"
"NEDD4L",0,1.35739910381708,0.922,0.689,0,"Adipocytes","NEDD4L"
"LGR4",0,1.35739549377246,0.841,0.512,0,"Adipocytes","LGR4"
"MREG",0,1.35449426084643,0.801,0.345,0,"Adipocytes","MREG"
"TMEM164",0,1.34386479044906,0.781,0.576,0,"Adipocytes","TMEM164"
"MARK1",0,1.34307683305176,0.855,0.544,0,"Adipocytes","MARK1"
"SPAG16",0,1.34270388233584,0.89,0.502,0,"Adipocytes","SPAG16"
"AL365295.1",0,1.33091435401671,0.866,0.599,0,"Adipocytes","AL365295.1"
"SPRY4-AS1",0,1.3304707531733,0.869,0.498,0,"Adipocytes","SPRY4-AS1"
"TENM4",0,1.32871264892726,0.806,0.473,0,"Adipocytes","TENM4"
"GCLC",0,1.31472746398026,0.808,0.52,0,"Adipocytes","GCLC"
"SPARC",0,1.31395451894046,0.795,0.548,0,"Adipocytes","SPARC"
"LRRIQ3",0,1.31193871483835,0.788,0.428,0,"Adipocytes","LRRIQ3"
"ANGPT1",0,1.30067801448872,0.816,0.573,0,"Adipocytes","ANGPT1"
"MEST",0,1.29836305754169,0.755,0.503,0,"Adipocytes","MEST"
"EPM2A",0,1.29250280012236,0.886,0.52,0,"Adipocytes","EPM2A"
"FOXP2",0,1.29080363544168,0.89,0.67,0,"Adipocytes","FOXP2"
"PMEPA1",0,1.28784776686902,0.823,0.552,0,"Adipocytes","PMEPA1"
"LAMC1",0,1.27362081164519,0.957,0.628,0,"Adipocytes","LAMC1"
"LINCADL",0,1.25731382836167,0.815,0.488,0,"Adipocytes","LINCADL"
"SEMA3A",0,1.24541134768534,0.896,0.736,0,"Adipocytes","SEMA3A"
"CAV2",0,1.23655822972529,0.784,0.456,0,"Adipocytes","CAV2"
"AC008840.1",0,1.22784608838868,0.739,0.394,0,"Adipocytes","AC008840.1"
"LEP",0,1.21700830868764,0.816,0.504,0,"Adipocytes","LEP"
"TWIST2",0,1.2144429255607,0.871,0.643,0,"Adipocytes","TWIST2"
"LRIG1",0,1.20430117737248,0.867,0.445,0,"Adipocytes","LRIG1"
"SRPX2",0,1.19332322775735,0.798,0.393,0,"Adipocytes","SRPX2"
"ALDH1L1",0,1.19061084661331,0.83,0.624,0,"Adipocytes","ALDH1L1"
"SLC66A1L",0,1.18850808919975,0.848,0.407,0,"Adipocytes","SLC66A1L"
"PCLO",0,1.18494026714899,0.726,0.645,0,"Adipocytes","PCLO"
"ADAM12",0,1.1757767115084,0.785,0.342,0,"Adipocytes","ADAM12"
"ACSS3",0,1.17181538223975,0.824,0.646,0,"Adipocytes","ACSS3"
"LHCGR",0,1.163893514485,0.697,0.28,0,"Adipocytes","LHCGR"
"NRIP1",0,1.16300124673063,0.885,0.587,0,"Adipocytes","NRIP1"
"CLMN",0,1.16095701912237,0.904,0.62,0,"Adipocytes","CLMN"
"NTRK2",0,1.14577015183313,0.79,0.622,0,"Adipocytes","NTRK2"
"CALCRL",0,1.13448138160655,0.749,0.352,0,"Adipocytes","CALCRL"
"TNFRSF21",0,1.1329067086084,0.87,0.567,0,"Adipocytes","TNFRSF21"
"ARHGEF6",0,1.11573715763414,0.818,0.473,0,"Adipocytes","ARHGEF6"
"IRS1",0,1.10727257286387,0.756,0.442,0,"Adipocytes","IRS1"
"EPB41L3",0,1.09979487131246,0.907,0.653,0,"Adipocytes","EPB41L3"
"SLC7A10",0,1.09354193349138,0.759,0.349,0,"Adipocytes","SLC7A10"
"FABP4",0,1.08071319531248,0.768,0.508,0,"Adipocytes","FABP4"
"GREB1L",0,1.07419696024547,0.78,0.382,0,"Adipocytes","GREB1L"
"RSPO3",0,1.06933116060386,0.875,0.485,0,"Adipocytes","RSPO3"
"MSC-AS1",0,1.06118790962215,0.82,0.515,0,"Adipocytes","MSC-AS1"
"KIAA0408",0,1.05954877510527,0.789,0.522,0,"Adipocytes","KIAA0408"
"MDH1",0,1.05871608639978,0.777,0.345,0,"Adipocytes","MDH1"
"FASN",0,1.05457439591609,0.727,0.332,0,"Adipocytes","FASN"
"MME",0,1.05355900728463,0.675,0.344,0,"Adipocytes","MME"
"MYOM1",0,1.04782848760605,0.704,0.343,0,"Adipocytes","MYOM1"
"FMNL2",0,1.03771973655945,0.968,0.778,0,"Adipocytes","FMNL2"
"ME1",0,1.01610378179449,0.835,0.546,0,"Adipocytes","ME1"
"LGALS12",0,1.01421519474585,0.79,0.294,0,"Adipocytes","LGALS12"
"LINC01239",0,1.00655603744566,0.682,0.428,0,"Adipocytes","LINC01239"
"CAV1",0,1.00488212983782,0.878,0.736,0,"Adipocytes","CAV1"
"G0S2",0,0.998511801009654,0.656,0.281,0,"Adipocytes","G0S2"
"MID1",0,0.998328749456326,0.921,0.808,0,"Adipocytes","MID1"
"SGCG",0,0.984541585750018,0.745,0.427,0,"Adipocytes","SGCG"
"DHRS3",0,0.979874687262909,0.915,0.608,0,"Adipocytes","DHRS3"
"SVEP1",0,0.976819869001253,0.973,0.841,0,"Adipocytes","SVEP1"
"RASGRF2",0,0.976646291957376,0.887,0.47,0,"Adipocytes","RASGRF2"
"AC138123.1",0,0.973925578585504,0.621,0.362,0,"Adipocytes","AC138123.1"
"CRLS1",0,0.972764090840253,0.855,0.587,0,"Adipocytes","CRLS1"
"SYN3",0,0.963318978270878,0.722,0.444,0,"Adipocytes","SYN3"
"CADM1",0,0.956418130537981,0.834,0.642,0,"Adipocytes","CADM1"
"MOGAT1",0,0.946166098202404,0.853,0.447,0,"Adipocytes","MOGAT1"
"PCOLCE2",0,0.944098981954449,0.817,0.734,0,"Adipocytes","PCOLCE2"
"APOL6",0,0.937065073214125,0.642,0.522,0,"Adipocytes","APOL6"
"PLPP1",0,0.935986632285067,0.943,0.641,0,"Adipocytes","PLPP1"
"AL591463.1",0,0.932147422810291,0.809,0.54,0,"Adipocytes","AL591463.1"
"MAOB",0,0.926200650090376,0.704,0.568,0,"Adipocytes","MAOB"
"AC025159.1",0,0.920276994249375,0.861,0.644,0,"Adipocytes","AC025159.1"
"GLRX",0,0.918699166510904,0.694,0.275,0,"Adipocytes","GLRX"
"ZBED3-AS1",0,0.916502731680052,0.759,0.48,0,"Adipocytes","ZBED3-AS1"
"AKR1C2",0,0.913068223468119,0.654,0.416,0,"Adipocytes","AKR1C2"
"KCNB1",0,0.907446061382505,0.866,0.77,0,"Adipocytes","KCNB1"
"ADIPOQ-AS1",0,0.894357924629192,0.603,0.287,0,"Adipocytes","ADIPOQ-AS1"
"TENM3-AS1",0,0.888553532837403,0.754,0.371,0,"Adipocytes","TENM3-AS1"
"PDK4",0,0.872126101851996,0.942,0.79,0,"Adipocytes","PDK4"
"EYA2",0,0.866379335046612,0.928,0.7,0,"Adipocytes","EYA2"
"SLC1A3",0,0.865179788734838,0.764,0.504,0,"Adipocytes","SLC1A3"
"AL590867.1",0,0.862987777964903,0.663,0.255,0,"Adipocytes","AL590867.1"
"AGBL4",0,0.85854789565773,0.816,0.599,0,"Adipocytes","AGBL4"
"TMTC1",0,0.854895465649575,0.93,0.589,0,"Adipocytes","TMTC1"
"PRSS23",0,0.851654644545386,0.841,0.67,0,"Adipocytes","PRSS23"
"EYS",0,0.846694782037381,0.71,0.317,0,"Adipocytes","EYS"
"MYO16",0,0.831749450722599,0.693,0.497,0,"Adipocytes","MYO16"
"PCSK5",0,0.824207586497514,0.961,0.824,0,"Adipocytes","PCSK5"
"AC098829.1",0,0.821639740842763,0.68,0.384,0,"Adipocytes","AC098829.1"
"AC018616.1",0,0.816728096292767,0.58,0.252,0,"Adipocytes","AC018616.1"
"SLC22A3",0,0.808909907639111,0.773,0.396,0,"Adipocytes","SLC22A3"
"GPAT3",0,0.805610914725661,0.786,0.385,0,"Adipocytes","GPAT3"
"NWD2",0,0.797588788034244,0.763,0.387,0,"Adipocytes","NWD2"
"ANO3",0,0.788546815667443,0.579,0.447,0,"Adipocytes","ANO3"
"ANGPTL4",0,0.781740095083876,0.608,0.546,0,"Adipocytes","ANGPTL4"
"LMCD1-AS1",0,0.775091251192307,0.765,0.649,0,"Adipocytes","LMCD1-AS1"
"PLOD2",0,0.76865416570015,0.759,0.672,0,"Adipocytes","PLOD2"
"AKR1C1",0,0.765198982105601,0.625,0.226,0,"Adipocytes","AKR1C1"
"ADAMTS9-AS1",0,0.755035854230256,0.757,0.509,0,"Adipocytes","ADAMTS9-AS1"
"UNC5C",0,0.754019463774001,0.904,0.612,0,"Adipocytes","UNC5C"
"LINC02790",0,0.751612278768621,0.843,0.392,0,"Adipocytes","LINC02790"
"LMO3",0,0.740254272739627,0.742,0.502,0,"Adipocytes","LMO3"
"LINC02789",0,0.730647110282433,0.577,0.259,0,"Adipocytes","LINC02789"
"H2AFY2",0,0.729956456046586,0.583,0.391,0,"Adipocytes","H2AFY2"
"ITGA1",0,0.726200816216739,0.79,0.621,0,"Adipocytes","ITGA1"
"GLDN",0,0.724699506366695,0.804,0.447,0,"Adipocytes","GLDN"
"BMPER",0,0.718564139998819,0.841,0.612,0,"Adipocytes","BMPER"
"TMEM232",0,0.717562090399269,0.767,0.421,0,"Adipocytes","TMEM232"
"AC008780.1",0,0.702943289890015,0.661,0.342,0,"Adipocytes","AC008780.1"
"TPRG1",0,0.700902367324573,0.742,0.568,0,"Adipocytes","TPRG1"
"SNTG2",0,0.696497397475903,0.759,0.411,0,"Adipocytes","SNTG2"
"CES1",0,0.676888384044318,0.784,0.374,0,"Adipocytes","CES1"
"RASGEF1B",0,0.666959013525328,0.816,0.523,0,"Adipocytes","RASGEF1B"
"AL445426.1",0,0.666770526747219,0.841,0.715,0,"Adipocytes","AL445426.1"
"GRIN2B",0,0.658127196046336,0.639,0.555,0,"Adipocytes","GRIN2B"
"AC104123.1",0,0.658084190791886,0.764,0.592,0,"Adipocytes","AC104123.1"
"AL139317.5",0,0.652193501093301,0.704,0.416,0,"Adipocytes","AL139317.5"
"CLCA4-AS1",0,0.633971004519109,0.752,0.344,0,"Adipocytes","CLCA4-AS1"
"SAA1",0,0.622243105063091,0.574,0.415,0,"Adipocytes","SAA1"
"FGF13",0,0.59614318602904,0.837,0.655,0,"Adipocytes","FGF13"
"BANK1",0,0.563076647298398,0.606,0.497,0,"Adipocytes","BANK1"
"LINC00504",0,0.558371848455763,0.642,0.415,0,"Adipocytes","LINC00504"
"AC073475.1",0,0.552917400956756,0.59,0.462,0,"Adipocytes","AC073475.1"
"AFF2",0,0.530304104019536,0.786,0.337,0,"Adipocytes","AFF2"
"AL445259.1",0,0.516877681683852,0.659,0.359,0,"Adipocytes","AL445259.1"
"ELOVL5",0,0.511135509669077,0.788,0.68,0,"Adipocytes","ELOVL5"
"PDE8B",0,0.502252946417626,0.711,0.644,0,"Adipocytes","PDE8B"
"AR",0,0.501159082617768,0.688,0.623,0,"Adipocytes","AR"
"GRB14",0,0.496344465485779,0.699,0.285,0,"Adipocytes","GRB14"
"PCK1",0,0.495490600536277,0.748,0.505,0,"Adipocytes","PCK1"
"IGF1",0,0.480344128382781,0.696,0.524,0,"Adipocytes","IGF1"
"PDGFC",0,0.478672406585742,0.912,0.705,0,"Adipocytes","PDGFC"
"SCD",0,0.472078742899982,0.781,0.348,0,"Adipocytes","SCD"
"MAN1A1",0,0.460369610943073,0.938,0.682,0,"Adipocytes","MAN1A1"
"LUCAT1",0,0.451161649746642,0.577,0.339,0,"Adipocytes","LUCAT1"
"ANO5",0,0.448269679982209,0.84,0.6,0,"Adipocytes","ANO5"
"PPM1L",0,0.445846360559187,0.674,0.572,0,"Adipocytes","PPM1L"
"TIMP3",0,0.44175615298598,0.906,0.811,0,"Adipocytes","TIMP3"
"ADAMTS5",0,0.4414656117418,0.723,0.639,0,"Adipocytes","ADAMTS5"
"AL096854.1",0,0.439486991255127,0.583,0.296,0,"Adipocytes","AL096854.1"
"ELN",0,0.437904621087468,0.809,0.675,0,"Adipocytes","ELN"
"AL160272.1",0,0.429464144253733,0.829,0.426,0,"Adipocytes","AL160272.1"
"LINC01697",0,0.426605495511762,0.646,0.41,0,"Adipocytes","LINC01697"
"AL358944.1",0,0.418390586299145,0.839,0.733,0,"Adipocytes","AL358944.1"
"ESRRG",0,0.412527399269012,0.631,0.381,0,"Adipocytes","ESRRG"
"TP63",0,0.409659928904946,0.61,0.407,0,"Adipocytes","TP63"
"C5orf64",0,0.404804256466554,0.642,0.418,0,"Adipocytes","C5orf64"
"CPEB2-DT",0,0.391347126379766,0.588,0.377,0,"Adipocytes","CPEB2-DT"
"ABCC3",0,0.374101087605736,0.767,0.425,0,"Adipocytes","ABCC3"
"ERBB4",0,0.368322974438989,0.854,0.851,0,"Adipocytes","ERBB4"
"ADAMTS15",0,0.368129857127653,0.68,0.567,0,"Adipocytes","ADAMTS15"
"EPHB1",0,0.364423860798808,0.636,0.443,0,"Adipocytes","EPHB1"
"AC073114.1",0,0.361450194126574,0.352,0.594,0,"Adipocytes","AC073114.1"
"KCND2",0,0.36073914645155,0.773,0.517,0,"Adipocytes","KCND2"
"COL15A1",0,0.338119222251592,0.647,0.557,0,"Adipocytes","COL15A1"
"RORB",0,0.335277932071483,0.701,0.541,0,"Adipocytes","RORB"
"AL591506.1",0,0.31666405439663,0.293,0.349,0,"Adipocytes","AL591506.1"
"TSHZ2",0,0.315225936215404,0.986,0.855,0,"Adipocytes","TSHZ2"
"CRYAB",0,0.314016597415797,0.546,0.21,0,"Adipocytes","CRYAB"
"STPG2",0,0.298168859205215,0.697,0.549,0,"Adipocytes","STPG2"
"FGF1",0,0.296295187097556,0.735,0.632,0,"Adipocytes","FGF1"
"ANKFN1",0,0.286287874724493,0.809,0.595,0,"Adipocytes","ANKFN1"
"GPC3",0,0.276476027396982,0.783,0.696,0,"Adipocytes","GPC3"
"RTN1",0,0.267529302646031,0.713,0.588,0,"Adipocytes","RTN1"
"AC090993.1",0,0.264478168597819,0.588,0.171,0,"Adipocytes","AC090993.1"
"ITGB1-DT",0,0.254569645094778,0.309,0.448,0,"Adipocytes","ITGB1-DT"
"ERRFI1",0,0.248406709073684,0.811,0.718,0,"Adipocytes","ERRFI1"
"AL358134.1",0,0.244491632954894,0.266,0.17,0,"Adipocytes","AL358134.1"
"DAB1",0,0.241208004945785,0.772,0.626,0,"Adipocytes","DAB1"
"EBF2",0,0.239365444954472,0.815,0.659,0,"Adipocytes","EBF2"
"KCNU1",0,0.236016948056567,0.22,0.416,0,"Adipocytes","KCNU1"
"ADIRF",0,0.234026433283546,0.65,0.566,0,"Adipocytes","ADIRF"
"AL512452.1",0,0.231751186008975,0.682,0.329,0,"Adipocytes","AL512452.1"
"LIX1-AS1",0,0.230974364989139,0.58,0.419,0,"Adipocytes","LIX1-AS1"
"LINC01950",0,0.229354143627672,0.611,0.465,0,"Adipocytes","LINC01950"
"LINC02227",0,0.225120377738642,0.527,0.177,0,"Adipocytes","LINC02227"
"AL390957.1",0,0.214226129983205,0.553,0.378,0,"Adipocytes","AL390957.1"
