"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CPAMD8.10",0.28953112604045,-0.0449401257316543,0.484,0.431,1,"17","CPAMD8"
"LINC01811.10",0.290978383071726,-0.0666793653134194,0.3,0.326,1,"17","LINC01811"
"LINC00841.10",0.295530820690395,-0.0470771894357542,0.031,0.156,1,"17","LINC00841"
"AC092969.1.10",0.30372800779181,-0.00942584775608491,0.458,0.389,1,"17","AC092969.1"
"GREM1.10",0.329779339280576,-0.205384716008522,0.712,0.505,1,"17","GREM1"
"CD55.10",0.334269766342636,-0.783280715780936,0.736,0.613,1,"17","CD55"
"SCN3A.10",0.335994825532608,0.204178226752776,0.38,0.216,1,"17","SCN3A"
"TYR.10",0.342241760479302,-0.0130834888757143,0.049,0.172,1,"17","TYR"
"GLOD5.10",0.34553007087469,0.019273262645967,0.271,0.37,1,"17","GLOD5"
"ITGA7.10",0.354535895088539,0.646111587757886,0.545,0.6,1,"17","ITGA7"
"HK2.10",0.358409920438458,-0.600065594456294,0.535,0.481,1,"17","HK2"
"HCN1.10",0.359711544266724,-0.0692674623748018,0.552,0.451,1,"17","HCN1"
"NEDD4L.10",0.365217924923907,-1.00748825817038,0.809,0.741,1,"17","NEDD4L"
"PLVAP.10",0.365264676159733,0.0902200008337824,0.406,0.274,1,"17","PLVAP"
"LHCGR.10",0.366147725943781,-0.121523742627881,0.373,0.375,1,"17","LHCGR"
"MRAS.10",0.378062218671653,-0.5360962064433,0.66,0.565,1,"17","MRAS"
"PCDH7.10",0.378756090711094,-0.315163102287734,0.349,0.364,1,"17","PCDH7"
"CPNE4.10",0.379279503909197,0.0916566629418211,0.366,0.326,1,"17","CPNE4"
"LINC02726.10",0.385032500962433,-0.0186359349012383,0.415,0.329,1,"17","LINC02726"
"LRFN5.10",0.387464869122165,-0.311576530103005,0.583,0.61,1,"17","LRFN5"
"AC122697.1.10",0.388686966085981,-0.0675685707304942,0.108,0.237,1,"17","AC122697.1"
"KRT6A.10",0.391873195213504,-0.0143846168287271,0.021,0.222,1,"17","KRT6A"
"PTPRE.10",0.393276964670042,-0.839014390389087,0.599,0.559,1,"17","PTPRE"
"AC026341.1.10",0.398601518059992,0.00261571024988791,0.616,0.491,1,"17","AC026341.1"
"TIMP1.10",0.404503962434962,-0.301609014721393,0.505,0.446,1,"17","TIMP1"
"CCL18.10",0.41691568239328,-0.0318662288231799,0.023,0.181,1,"17","CCL18"
"AC100849.1.10",0.418024995682385,-0.341231171177619,0.55,0.377,1,"17","AC100849.1"
"C14orf39.10",0.419566447503412,-0.0438167167589993,0.34,0.294,1,"17","C14orf39"
"LINC00970.10",0.420488148901152,-0.0387047564559299,0.406,0.415,1,"17","LINC00970"
"SLC40A1.10",0.432433521677817,0.263329485063527,0.477,0.547,1,"17","SLC40A1"
"LIX1-AS1.10",0.436720536163793,-0.298918076271015,0.451,0.456,1,"17","LIX1-AS1"
"TTN.10",0.438741453712858,0.128511748322341,0.415,0.358,1,"17","TTN"
"AP005203.1.10",0.445696988392688,-0.0596882568492045,0.408,0.323,1,"17","AP005203.1"
"CSMD1.10",0.44838322184762,0.0231564915255374,0.424,0.422,1,"17","CSMD1"
"BRINP3.10",0.451621741612742,-0.0151275025863437,0.458,0.381,1,"17","BRINP3"
"CEMIP2.10",0.452304993157096,-0.6808941999115,0.741,0.626,1,"17","CEMIP2"
"AL358335.2.10",0.457000393739689,-0.112363463375785,0.776,0.561,1,"17","AL358335.2"
"CHSY3.10",0.46314779513394,1.23652634317799,0.484,0.596,1,"17","CHSY3"
"AC008696.2.10",0.465496466886181,-0.00897991084773517,0.38,0.399,1,"17","AC008696.2"
"NR4A1.10",0.466054676037519,-0.175416863562612,0.726,0.707,1,"17","NR4A1"
"AC020718.1.10",0.467395248506021,0.00626599311932394,0.179,0.245,1,"17","AC020718.1"
"AL157886.1.10",0.475159882197587,-0.120801751077475,0.194,0.304,1,"17","AL157886.1"
"AC034195.1.10",0.48285798871125,0.225405546121008,0.573,0.572,1,"17","AC034195.1"
"AL109930.1.10",0.489048668002241,0.385124687220587,0.533,0.586,1,"17","AL109930.1"
"AL357873.1.10",0.49537512407204,-0.137524394655571,0.403,0.356,1,"17","AL357873.1"
"CDH19.10",0.495856098583947,0.0351882215568799,0.312,0.268,1,"17","CDH19"
"PIEZO2.10",0.498861814223604,0.142886262913451,0.505,0.548,1,"17","PIEZO2"
"PLOD2.10",0.500744383612648,-0.850550740538395,0.788,0.691,1,"17","PLOD2"
"LINC02384.10",0.510940275162973,-0.0627315790428121,0.429,0.365,1,"17","LINC02384"
"PAPPA.10",0.520975358993193,-0.233079481834821,0.661,0.61,1,"17","PAPPA"
"KLHL4.10",0.53799903354942,-0.486142605390458,0.556,0.446,1,"17","KLHL4"
"SPRR2F.10",0.538852046713896,-0.00381224633671132,0.036,0.093,1,"17","SPRR2F"
"DPT.10",0.542911041020739,-0.455789668337132,0.49,0.466,1,"17","DPT"
"SULF1.10",0.550889832546194,-1.44847233461346,0.8,0.726,1,"17","SULF1"
"HS6ST2.10",0.556317253707854,-0.0379213480897437,0.391,0.4,1,"17","HS6ST2"
"PTPRB.10",0.566911657929633,-0.483483503349101,0.49,0.53,1,"17","PTPRB"
"LINC01194.10",0.574993496094924,-0.0421496414391769,0.127,0.178,1,"17","LINC01194"
"EYS.10",0.576678859502341,-0.0599372892871219,0.46,0.406,1,"17","EYS"
"CRTAC1.10",0.576785202261282,-0.0161003222612303,0.366,0.334,1,"17","CRTAC1"
"CREB5.10",0.577296523948956,-0.253428436987756,0.679,0.691,1,"17","CREB5"
"LGR4.10",0.57768150419206,0.271491299799442,0.538,0.588,1,"17","LGR4"
"LINC01098.10",0.581764933880724,-0.0531245813978737,0.387,0.341,1,"17","LINC01098"
"DCHS2.10",0.592389922002071,0.168969768888043,0.345,0.338,1,"17","DCHS2"
"CYBB.10",0.593117179200533,-0.341229580032135,0.448,0.308,1,"17","CYBB"
"AL355612.1.10",0.595306383074733,0.15225518269307,0.226,0.314,1,"17","AL355612.1"
"FLT1.10",0.606221060747394,-0.821056031365792,0.523,0.505,1,"17","FLT1"
