Process name,Associated cell type,Associated cell type,Associated cell types,Associated cell types
regulation of t cell mediated immune response to tumor cell, t cell,,,
negative regulation of cd4-positive_ alpha-beta t cell differentiation, t cell,,,
negative regulation of t cell migration, t cell,,,
cd8-positive_ alpha-beta intraepithelial t cell differentiation, t cell,epithelial,,
cd8-positive_ gamma-delta intraepithelial t cell differentiation, t cell,epithelial,,
cd8-positive_ alpha-beta t cell differentiation, t cell,,,
regulation of activated t cell proliferation, t cell,,,
regulation of t cell mediated cytotoxicity, t cell,,,
regulation of activation-induced cell death of t cells, t cell,,,
regulation of cd8-positive_ alpha-beta cytotoxic t cell extravasation, t cell,,,
negative regulation of t cell differentiation in thymus, t cell,,,
negative regulation of immature t cell proliferation in thymus, t cell,,,
regulation of t cell apoptotic process, t cell,,,
negative regulation of t cell activation via t cell receptor contact with antigen bound to mhc molecule on antigen presenting cell, t cell,antigen presenting ,,
negative regulation of activated cd8-positive_ alpha-beta t cell apoptotic process, t cell,,,
positive t cell selection, t cell,,,
alpha-beta t cell differentiation, t cell,,,
cytotoxic t cell degranulation, t cell,,,
positive regulation of gamma-delta t cell activation, t cell,,,
cd4-positive or cd8-positive_ alpha-beta t cell lineage commitment, t cell,,,
helper t cell diapedesis, t cell,,,
positive regulation of activated t cell autonomous cell death, t cell,,,
regulation of positive thymic t cell selection, t cell,,,
positive regulation of establishment of t cell polarity, t cell,,,
helper t cell extravasation, t cell,,,
positive regulation of t cell apoptotic process, t cell,,,
positive regulation of t cell costimulation, t cell,,,
negative regulation of nk t cell activation, t cell,,,
negative regulation of cd4-positive_ alpha-beta t cell activation, t cell,,,
negative regulation of positive thymic t cell selection, t cell,,,
regulation of t cell anergy, t cell,,,
cd8-positive_ alpha-beta t cell lineage commitment, t cell,,,
negative regulation of t cell mediated immunity, t cell,,,
negative regulation of t cell extravasation, t cell,,,
negative regulation of memory t cell differentiation, t cell,,,
regulation of t cell cytokine production, t cell,,,
regulatory t cell differentiation, t cell,,,
susceptibility to t cell mediated cytotoxicity, t cell,,,
positive regulation of t cell tolerance induction, t cell,,,
cd4-positive_ alpha-beta t cell activation, t cell,,,
cytotoxic t cell differentiation, t cell,,,
positive regulation of immature t cell proliferation in thymus, t cell,,,
positive regulation of t cell mediated immune response to tumor cell, t cell,,,
negative regulation of alpha-beta t cell differentiation, t cell,,,
negative regulation of alpha-beta t cell proliferation, t cell,,,
peripheral t cell tolerance induction, t cell,,,
negative regulation of alpha-beta t cell activation, t cell,,,
activated t cell proliferation, t cell,,,
cd8-positive_ alpha-beta t cell differentiation involved in immune response, t cell,,,
positive regulation of cd8-positive_ alpha-beta t cell extravasation, t cell,,,
alpha-beta t cell lineage commitment, t cell,,,
regulation of memory t cell differentiation, t cell,,,
regulation of t cell chemotaxis, t cell,,,
nk t cell proliferation, t cell,,,
extrathymic t cell selection, t cell,,,
alpha-beta t cell proliferation, t cell,,,
negative regulation of establishment of t cell polarity, t cell,,,
negative regulation of t cell antigen processing and presentation, t cell,,,
negative regulation of cd8-positive_ alpha-beta t cell activation, t cell,,,
positive regulation of memory t cell activation, t cell,,,
positive regulation of cd8-positive_ alpha-beta t cell activation, t cell,,,
regulation of cd4-positive_ alpha-beta t cell activation, t cell,,,
regulation of extrathymic t cell differentiation, t cell,,,
regulation of nk t cell differentiation, t cell,,,
negative t cell selection, t cell,,,
negative regulation of immature t cell proliferation, t cell,,,
cd4-positive_ cd25-positive_ alpha-beta regulatory t cell lineage commitment, t cell,,,
nk t cell lineage commitment, t cell,,,
cd4-positive_ alpha-beta t cell lineage commitment, t cell,,,
positive regulation of immature t cell proliferation, t cell,,,
memory t cell proliferation, t cell,,,
positive regulation of activated cd8-positive_ alpha-beta t cell apoptotic process, t cell,,,
regulation of establishment of t cell polarity, t cell,,,
memory t cell differentiation, t cell,,,
cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation, t cell,,,
positive regulation of gamma-delta t cell activation involved in immune response, t cell,,,
regulation of t cell antigen processing and presentation, t cell,,,
positive regulation of peripheral t cell tolerance induction, t cell,,,
positive regulation of cd4-positive_ cd25-positive_ alpha-beta regulatory t cell differentiation, t cell,,,
positive regulation of t cell extravasation, t cell,,,
immature t cell proliferation in thymus, t cell,,,
acinar cell differentiation,acinar ,,,
positive regulation of acinar cell proliferation,acinar ,,,
amacrine cell differentiation,amacrine ,,,
positive regulation of amacrine cell differentiation,amacrine ,,,
negative regulation of amacrine cell differentiation,amacrine ,,,
astrocyte development,astrocyte,,,
negative regulation of astrocyte activation,astrocyte,,,
negative regulation of astrocyte differentiation,astrocyte,,,
regulation of astrocyte differentiation,astrocyte,,,
astrocyte differentiation,astrocyte,,,
astrocyte activation,astrocyte,,,
positive regulation of astrocyte differentiation,astrocyte,,,
forebrain astrocyte development,astrocyte,,,
astrocyte-dopaminergic neuron signaling,astrocyte,neuron,,
astrocyte activation involved in immune response,astrocyte,,,
regulation of astrocyte chemotaxis,astrocyte,,,
astrocyte cell migration,astrocyte,,,
astrocyte fate commitment,astrocyte,,,
positive regulation of astrocyte activation,astrocyte,,,
positive regulation of astrocyte chemotaxis,astrocyte,,,
regulation of astrocyte activation,astrocyte,,,
establishment or maintenance of epithelial cell apical/basal polarity,basal,epithelial,,
ciliary basal body-plasma membrane docking,basal,,,
basal dendrite development,basal,,,
basal dendrite arborization,basal,,,
squamous basal epithelial stem cell differentiation involved in prostate gland acinus development,basal,epithelial,stem cell,
maintenance of epithelial cell apical/basal polarity,basal,epithelial,,
ciliary basal body organization,basal,,,
respiratory basal cell differentiation,basal,,,
establishment of epithelial cell apical/basal polarity,basal,epithelial,,
basal dendrite morphogenesis,basal,,,
establishment of apical/basal cell polarity,basal,,,
gabaergic neuron differentiation in basal ganglia,basal,neuron,,
establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis,basal,epithelial,,
basal protein localization,basal,,,
establishment or maintenance of apical/basal cell polarity,basal,,,
basophil activation,basophil,,,
basophil activation involved in immune response,basophil,,,
basophil differentiation,basophil,,,
basophil homeostasis,basophil,,,
retinal bipolar neuron differentiation,bipolar ,neuron,retinal ,
rod bipolar cell differentiation,bipolar ,,,
bone remodeling,bone ,,,
regulation of bone mineralization,bone ,,,
negative regulation of bone mineralization,bone ,,,
endochondral bone growth,bone ,,,
bone resorption,bone ,,,
bone mineralization,bone ,,,
ossification involved in bone maturation,bone ,,,
bone trabecula formation,bone ,,,
bone development,bone ,,,
regulation of bone resorption,bone ,,,
regulation of bone remodeling,bone ,,,
bone morphogenesis,bone ,,,
bone marrow development,bone ,bone marrow ,,
bone regeneration,bone ,,,
negative regulation of bone resorption,bone ,,,
positive regulation of bone mineralization,bone ,,,
fibroblast growth factor receptor signaling pathway involved in negative regulation of apoptotic process in bone marrow cell,bone ,bone marrow ,fibroblast,
fibroblast growth factor receptor signaling pathway involved in positive regulation of cell proliferation in bone marrow,bone ,fibroblast,,
positive regulation of bone resorption,bone ,,,
positive regulation of cell proliferation in bone marrow,bone ,,,
negative regulation of apoptotic process in bone marrow cell,bone ,bone marrow ,,
negative regulation of bone mineralization involved in bone maturation,bone ,,,
endochondral bone morphogenesis,bone ,,,
positive regulation of bone mineralization involved in bone maturation,bone ,,,
chondrocyte development involved in endochondral bone morphogenesis,bone ,,,
hematopoietic stem cell migration to bone marrow,bone ,hematopoietic stem ,stem cell,
bone mineralization involved in bone maturation,bone ,,,
cartilage development involved in endochondral bone morphogenesis,bone ,,,
positive regulation of bone development,bone ,,,
ossification involved in bone remodeling,bone ,,,
intramembranous bone growth,bone ,,,
chondrocyte differentiation involved in endochondral bone morphogenesis,bone ,,,
negative regulation of bone remodeling,bone ,,,
negative regulation of bone trabecula formation,bone ,,,
bone growth,bone ,,,
regulation of bone development,bone ,,,
negative regulation of cell proliferation in bone marrow,bone ,,,
cell proliferation in bone marrow,bone ,,,
bone maturation,bone ,,,
bone trabecula morphogenesis,bone ,,,
apoptotic process in bone marrow cell,bone ,bone marrow ,,
semaphorin-plexin signaling pathway involved in bone trabecula morphogenesis,bone ,,,
mesenchymal cell differentiation involved in bone development,bone ,mesenchymal,,
positive regulation of apoptotic process in bone marrow cell,bone ,bone marrow ,,
perichondral bone morphogenesis,bone ,,,
negative regulation of bone development,bone ,,,
positive regulation of brown fat cell differentiation,brown fat ,fat ,,
brown fat cell differentiation,brown fat ,fat ,,
regulation of brown fat cell differentiation,brown fat ,fat ,,
negative regulation of brown fat cell differentiation,brown fat ,fat ,,
positive regulation of brown fat cell proliferation,brown fat ,fat ,,
positive regulation of cardiac endothelial to mesenchymal transition,cardiac endothelial ,endothelial,mesenchymal,
cardiac endothelial to mesenchymal transition,cardiac endothelial ,endothelial,mesenchymal,
regulation of atrial cardiac muscle cell membrane depolarization,cardiac muscle ,,,
regulation of cardiac muscle contraction,cardiac muscle ,,,
sa node cell to atrial cardiac muscle cell communication by electrical coupling,cardiac muscle ,,,
atrial cardiac muscle cell to av node cell communication by electrical coupling,cardiac muscle ,,,
purkinje myocyte to ventricular cardiac muscle cell communication by electrical coupling,cardiac muscle ,purkinje,,
regulation of atrial cardiac muscle cell action potential,cardiac muscle ,,,
regulation of ventricular cardiac muscle cell membrane repolarization,cardiac muscle ,,,
regulation of ventricular cardiac muscle cell membrane depolarization,cardiac muscle ,,,
ventricular cardiac muscle cell action potential,cardiac muscle ,,,
regulation of membrane depolarization during cardiac muscle cell action potential,cardiac muscle ,,,
negative regulation of cardiac muscle hypertrophy in response to stress,cardiac muscle ,,,
ventricular cardiac muscle cell development,cardiac muscle ,,,
regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,cardiac muscle ,,,
regulation of cardiac muscle cell contraction,cardiac muscle ,,,
cardiac muscle contraction,cardiac muscle ,,,
