Process name,Associated cell type,Associated cell type,Associated cell types,Associated cell types
branch elongation involved in mammary gland duct branching,duct ,,,
mesonephric duct morphogenesis,duct ,,,
outer medullary collecting duct development,duct ,,,
inner medullary collecting duct development,duct ,,,
lateral sprouting involved in mammary gland duct morphogenesis,duct ,,,
dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis,duct ,,,
metanephric cortical collecting duct development,duct ,metanephric ,,
pronephric duct morphogenesis,duct ,,,
trophectodermal cell differentiation,ectodermal ,,,
trophectodermal cellular morphogenesis,ectodermal ,,,
ectodermal cell fate commitment,ectodermal ,,,
trophectodermal cell proliferation,ectodermal ,,,
positive regulation of trophectodermal cell proliferation,ectodermal ,,,
ectodermal cell differentiation,ectodermal ,,,
embryonic ectodermal digestive tract morphogenesis,ectodermal ,,,
negative regulation of ectodermal cell fate specification,ectodermal ,,,
embryonic ectodermal digestive tract development,ectodermal ,,,
endocardial cushion to mesenchymal transition involved in heart valve formation,endocardial ,mesenchymal,,
endocardial cushion morphogenesis,endocardial ,,,
positive regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,endocardial ,epithelial,mesenchymal,
endocardial cushion fusion,endocardial ,,,
negative regulation of epithelial to mesenchymal transition involved in endocardial cushion formation,endocardial ,epithelial,mesenchymal,
endocardial cushion formation,endocardial ,,,
epithelial to mesenchymal transition involved in endocardial cushion formation,endocardial ,epithelial,mesenchymal,
cell migration involved in endocardial cushion formation,endocardial ,,,
endocardial cushion development,endocardial ,,,
endocardial cell differentiation,endocardial ,,,
endocardial cushion cell fate commitment,endocardial ,,,
endocardial cushion cell development,endocardial ,,,
inferior endocardial cushion morphogenesis,endocardial ,,,
positive regulation of endocardial cushion to mesenchymal transition involved in heart valve formation,endocardial ,mesenchymal,,
endocardial cushion to mesenchymal transition,endocardial ,mesenchymal,,
endodermal cell fate commitment,endodermal ,,,
endodermal cell differentiation,endodermal ,,,
regulation of endodermal cell fate specification,endodermal ,,,
endodermal cell fate specification,endodermal ,,,
mesodermal-endodermal cell signaling,endodermal ,,,
negative regulation of endodermal cell fate specification,endodermal ,,,
endodermal cell fate determination,endodermal ,,,
endodermal digestive tract morphogenesis,endodermal ,,,
negative regulation of endodermal cell differentiation,endodermal ,,,
positive regulation of endodermal cell differentiation,endodermal ,,,
regulation of transcription from rna polymerase ii promoter involved in definitive endodermal cell fate specification,endodermal ,,,
positive regulation of endothelial cell apoptotic process,endothelial,,,
positive regulation of endothelial cell proliferation,endothelial,,,
positive regulation of vascular endothelial growth factor receptor signaling pathway,endothelial,vascular endothelial ,,
positive regulation of vascular endothelial growth factor production,endothelial,vascular endothelial ,,
endothelial cell migration,endothelial,,,
endothelial cell chemotaxis,endothelial,,,
vascular endothelial growth factor production,endothelial,vascular endothelial ,,
regulation of blood vessel endothelial cell migration,endothelial,,,
regulation of endothelial cell migration,endothelial,,,
vascular endothelial growth factor receptor signaling pathway,endothelial,vascular endothelial ,,
establishment of endothelial intestinal barrier,endothelial,,,
positive regulation of establishment of endothelial barrier,endothelial,,,
negative regulation of vascular endothelial growth factor production,endothelial,vascular endothelial ,,
negative regulation of vascular endothelial growth factor signaling pathway,endothelial,vascular endothelial ,,
positive regulation of endothelial cell migration,endothelial,,,
positive regulation of endothelial cell differentiation,endothelial,,,
negative regulation of blood vessel endothelial cell migration,endothelial,,,
negative regulation of cellular response to vascular endothelial growth factor stimulus,endothelial,vascular endothelial ,,
positive regulation of blood vessel endothelial cell migration,endothelial,,,
positive regulation of vascular endothelial cell proliferation,endothelial,vascular endothelial ,,
cellular response to vascular endothelial growth factor stimulus,endothelial,vascular endothelial ,,
endothelial cell apoptotic process,endothelial,,,
negative regulation of endothelial cell apoptotic process,endothelial,,,
negative regulation of vascular endothelial cell proliferation,endothelial,vascular endothelial ,,
negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,endothelial,,,
endothelial cell proliferation,endothelial,,,
regulation of transcription involved in lymphatic endothelial cell fate commitment,endothelial,lymphatic endothelial ,,
lymphatic endothelial cell differentiation,endothelial,lymphatic endothelial ,,
endothelial cell differentiation,endothelial,,,
lymphatic endothelial cell migration,endothelial,lymphatic endothelial ,,
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,endothelial,,,
positive regulation of vascular endothelial growth factor signaling pathway,endothelial,vascular endothelial ,,
negative regulation of endothelial cell differentiation,endothelial,,,
vascular endothelial growth factor signaling pathway,endothelial,vascular endothelial ,,
endothelial tip cell fate specification,endothelial,,,
negative regulation of endothelial cell proliferation,endothelial,,,
positive regulation of leukocyte adhesion to arterial endothelial cell,endothelial,,,
negative regulation of endothelial cell migration,endothelial,,,
regulation of establishment of endothelial barrier,endothelial,,,
negative regulation of vascular endothelial growth factor receptor signaling pathway,endothelial,vascular endothelial ,,
regulation of vascular endothelial growth factor receptor signaling pathway,endothelial,vascular endothelial ,,
positive regulation of leukocyte adhesion to vascular endothelial cell,endothelial,vascular endothelial ,,
regulation of endothelial cell chemotaxis to fibroblast growth factor,endothelial,fibroblast,,
establishment of endothelial barrier,endothelial,,,
negative regulation of endothelial cell-matrix adhesion via fibronectin,endothelial,,,
blood vessel endothelial cell migration,endothelial,,,
negative regulation of leukocyte adhesion to vascular endothelial cell,endothelial,vascular endothelial ,,
negative regulation of blood vessel endothelial cell differentiation,endothelial,,,
endothelial cell activation,endothelial,,,
regulation of endothelial cell differentiation,endothelial,,,
endothelial tube morphogenesis,endothelial,,,
regulation of endothelial cell proliferation,endothelial,,,
blood vessel endothelial cell proliferation involved in sprouting angiogenesis,endothelial,,,
regulation of vascular endothelial growth factor signaling pathway,endothelial,vascular endothelial ,,
blood vessel endothelial cell delamination,endothelial,,,
positive regulation of endothelial cell chemotaxis,endothelial,,,
vascular endothelial growth factor receptor-1 signaling pathway,endothelial,vascular endothelial ,,
endothelial tube lumen extension,endothelial,,,
negative regulation of endothelial cell chemotaxis to vascular endothelial growth factor,endothelial,vascular endothelial ,,
negative regulation of endothelial cell chemotaxis to fibroblast growth factor,endothelial,fibroblast,,
endothelial cell morphogenesis,endothelial,,,
vascular endothelial cell response to fluid shear stress,endothelial,vascular endothelial ,,
positive regulation of endothelial cell activation,endothelial,,,
regulation of vascular endothelial growth factor production,endothelial,vascular endothelial ,,
endothelial to hematopoietic transition,endothelial,,,
positive regulation of endothelial cell chemotaxis by vegf-activated vascular endothelial growth factor receptor signaling pathway,endothelial,vascular endothelial ,,
vascular endothelial growth factor receptor-2 signaling pathway,endothelial,vascular endothelial ,,
vascular endothelial growth factor receptor-3 signaling pathway,endothelial,vascular endothelial ,,
pulmonary artery endothelial tube morphogenesis,endothelial,pulmonary,,
negative regulation of endothelial cell chemotaxis,endothelial,,,
positive regulation of endothelial tube morphogenesis,endothelial,,,
positive regulation of cell migration by vascular endothelial growth factor signaling pathway,endothelial,vascular endothelial ,,
endothelial cell-cell adhesion,endothelial,,,
arterial endothelial cell differentiation,endothelial,,,
endothelial cell development,endothelial,,,
negative regulation of endothelial tube morphogenesis,endothelial,,,
endothelial cell-matrix adhesion,endothelial,,,
positive regulation of endothelial cell-matrix adhesion via fibronectin,endothelial,,,
leukocyte adhesion to vascular endothelial cell,endothelial,vascular endothelial ,,
regulation of endothelial tube morphogenesis,endothelial,,,
blood vessel endothelial cell fate specification,endothelial,,,
arterial endothelial cell fate commitment,endothelial,,,
lymphocyte chemotaxis across high endothelial venule,endothelial,lymphocyte,,
endothelial cell chemotaxis to fibroblast growth factor,endothelial,fibroblast,,
leukocyte adhesion to arterial endothelial cell,endothelial,,,
positive regulation of endothelial cell chemotaxis to fibroblast growth factor,endothelial,fibroblast,,
regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis,endothelial,,,
endothelial cell chemotaxis to vascular endothelial growth factor,endothelial,vascular endothelial ,,
regulation of endothelial cell apoptotic process,endothelial,,,
negative regulation of establishment of endothelial barrier,endothelial,,,
notch signaling pathway involved in arterial endothelial cell fate commitment,endothelial,,,
blood vessel endothelial cell differentiation,endothelial,,,
establishment of endothelial blood-brain barrier,endothelial,,,
endothelial cell activation involved in immune response,endothelial,,,
negative regulation of leukocyte adhesion to arterial endothelial cell,endothelial,,,
venous endothelial cell differentiation,endothelial,,,
regulation of leukocyte adhesion to vascular endothelial cell,endothelial,vascular endothelial ,,
canonical wnt signaling pathway involved in positive regulation of endothelial cell migration,endothelial,,,
lymphatic endothelial cell fate commitment,endothelial,lymphatic endothelial ,,
positive regulation of blood vessel endothelial cell differentiation,endothelial,,,
morphogenesis of an epithelial sheet,epithelial,,,
glomerular visceral epithelial cell development,epithelial,,,
epithelial cell development,epithelial,,,
epithelial to mesenchymal transition,epithelial,mesenchymal,,
regulation of mammary gland epithelial cell proliferation,epithelial,,,
cardiac epithelial to mesenchymal transition,epithelial,mesenchymal,,
negative regulation of epithelial to mesenchymal transition,epithelial,mesenchymal,,
positive regulation of epithelial cell migration,epithelial,,,
epithelial cell morphogenesis,epithelial,,,
epithelial cell maturation,epithelial,,,
transepithelial ammonium transport,epithelial,,,
positive regulation of mammary gland epithelial cell proliferation,epithelial,,,
epithelial cell differentiation,epithelial,,,
epithelial cell proliferation,epithelial,,,
epithelial cilium movement involved in extracellular fluid movement,epithelial,,,
metanephric glomerular visceral epithelial cell development,epithelial,metanephric ,,
positive regulation of epithelial cell proliferation,epithelial,,,
negative regulation of epithelial cell proliferation,epithelial,,,
intestinal epithelial structure maintenance,epithelial,intestinal epithelial ,,
negative regulation of epithelial cell migration,epithelial,,,
immunoglobulin transcytosis in epithelial cells mediated by polymeric immunoglobulin receptor,epithelial,,,
negative regulation of intestinal epithelial cell development,epithelial,intestinal epithelial ,,
mammary gland epithelial cell differentiation,epithelial,,,
positive regulation of epithelial to mesenchymal transition,epithelial,mesenchymal,,
mesenchymal to epithelial transition,epithelial,mesenchymal,,
regulation of epithelial cell differentiation,epithelial,,,
negative regulation of mammary gland epithelial cell proliferation,epithelial,,,
regulation of nephron tubule epithelial cell differentiation,epithelial,,,
establishment of epithelial cell polarity,epithelial,,,
negative regulation of epithelial cell differentiation,epithelial,,,
embryonic epithelial tube formation,epithelial,,,
inhibition of neuroepithelial cell differentiation,epithelial,,,
epithelial cell differentiation involved in prostate gland development,epithelial,,,
epithelial cell-cell adhesion,epithelial,,,
polarized epithelial cell differentiation,epithelial,,,
epithelial tube branching involved in lung morphogenesis,epithelial,,,
regulation of adhesion of symbiont to host epithelial cell,epithelial,,,
transepithelial transport,epithelial,,,
mesenchymal to epithelial transition involved in metanephros morphogenesis,epithelial,mesenchymal,,
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,epithelial,mesenchymal,,
regulation of metanephric nephron tubule epithelial cell differentiation,epithelial,metanephric ,,
mammary gland epithelial cell proliferation,epithelial,,,
neuroepithelial cell differentiation,epithelial,,,
epithelial structure maintenance,epithelial,,,
epithelial to mesenchymal transition involved in cardiac fibroblast development,epithelial,fibroblast,mesenchymal,
canonical wnt signaling pathway involved in positive regulation of epithelial to mesenchymal transition,epithelial,mesenchymal,,
epithelial cell migration,epithelial,,,
positive regulation of epithelial cell proliferation involved in lung morphogenesis,epithelial,,,
prostate epithelial cord elongation,epithelial,,,
prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis,epithelial,glandular,,
epithelial cell proliferation involved in salivary gland morphogenesis,epithelial,salivary gland,,
positive regulation of epithelial cell differentiation,epithelial,,,
glomerular visceral epithelial cell differentiation,epithelial,,,
negative regulation of epithelial cell apoptotic process,epithelial,,,
transepithelial chloride transport,epithelial,,,
branching morphogenesis of an epithelial tube,epithelial,,,
regulation of epithelial cell proliferation,epithelial,,,
intestinal epithelial cell development,epithelial,intestinal epithelial ,,
lung epithelial cell differentiation,epithelial,,,
positive regulation of epithelial cell proliferation involved in wound healing,epithelial,,,
regulation of epithelial to mesenchymal transition,epithelial,mesenchymal,,
epithelial cell morphogenesis involved in placental branching,epithelial,,,
negative regulation of epithelial cell proliferation involved in prostate gland development,epithelial,,,
glandular epithelial cell development,epithelial,glandular,glandular epithelial ,
regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling,epithelial,salivary gland,,
regulation of epithelial cell migration,epithelial,,,
intestinal epithelial cell migration,epithelial,intestinal epithelial ,,
positive regulation of glomerular visceral epithelial cell apoptotic process,epithelial,,,
intestinal epithelial cell differentiation,epithelial,intestinal epithelial ,,
epithelial fluid transport,epithelial,,,
secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development,epithelial,glandular,,
epithelial-mesenchymal signaling involved in prostate gland development,epithelial,mesenchymal,,
epithelial cell maturation involved in prostate gland development,epithelial,,,
epithelial cell proliferation involved in lung morphogenesis,epithelial,,,
epithelial-mesenchymal cell signaling,epithelial,mesenchymal,,
ureter epithelial cell differentiation,epithelial,,,
intestinal epithelial cell maturation,epithelial,intestinal epithelial ,,
epithelial cell differentiation involved in mammary gland alveolus development,epithelial,,,
epithelial cell apoptotic process involved in palatal shelf morphogenesis,epithelial,,,
secretion by lung epithelial cell involved in lung growth,epithelial,,,
regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling,epithelial,mesenchymal,salivary gland,
epithelial cilium movement involved in determination of left/right asymmetry,epithelial,,,
positive regulation of epithelial cell apoptotic process,epithelial,,,
positive regulation of nephron tubule epithelial cell differentiation,epithelial,,,
regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,epithelial,mesenchymal,,
epithelial cell proliferation involved in prostatic bud elongation,epithelial,,,
regulation of epithelial cell proliferation involved in lung morphogenesis,epithelial,,,
glomerular parietal epithelial cell development,epithelial,,,
regulation of transepithelial transport,epithelial,,,
epithelial tube morphogenesis,epithelial,,,
glomerular visceral epithelial cell migration,epithelial,,,
igg immunoglobulin transcytosis in epithelial cells mediated by fcrn immunoglobulin receptor,epithelial,,,
positive regulation of lens epithelial cell proliferation,epithelial,,,
negative regulation of nephron tubule epithelial cell differentiation,epithelial,,,
morphogenesis of an epithelial fold,epithelial,,,
regulation of intestinal epithelial structure maintenance,epithelial,intestinal epithelial ,,
negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,epithelial,mesenchymal,,
negative regulation of metanephric nephron tubule epithelial cell differentiation,epithelial,metanephric ,,
transepithelial l-ascorbic acid transport,epithelial,,,
positive regulation of cardiac epithelial to mesenchymal transition,epithelial,mesenchymal,,
negative regulation of epithelial cell differentiation involved in kidney development,epithelial,,,
epithelial cell maturation involved in salivary gland development,epithelial,salivary gland,,
transepithelial water transport,epithelial,,,
positive regulation of epithelial cell proliferation involved in prostate gland development,epithelial,,,
mesenchymal-epithelial cell signaling,epithelial,mesenchymal,,
positive regulation of metanephric glomerular visceral epithelial cell development,epithelial,metanephric ,,
glomerular parietal epithelial cell differentiation,epithelial,,,
mesenchymal-epithelial cell signaling involved in lung development,epithelial,mesenchymal,,
glandular epithelial cell differentiation,epithelial,glandular,glandular epithelial ,
colon epithelial cell migration,epithelial,,,
nephron tubule epithelial cell differentiation,epithelial,,,
positive regulation of intestinal epithelial structure maintenance,epithelial,intestinal epithelial ,,
positive regulation of polarized epithelial cell differentiation,epithelial,,,
regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling,epithelial,mesenchymal,salivary gland,
epithelial tube formation,epithelial,,,
regulation of epithelial cell proliferation involved in prostate gland development,epithelial,,,
stromal-epithelial cell signaling involved in prostate gland development,epithelial,,,
glandular epithelial cell maturation,epithelial,glandular,glandular epithelial ,
negative regulation of epithelial cell proliferation involved in lung morphogenesis,epithelial,,,
mesenchymal-epithelial cell signaling involved in prostate gland development,epithelial,mesenchymal,,
regulation of epithelial cell differentiation involved in kidney development,epithelial,,,
epithelial cell fate commitment,epithelial,,,
negative regulation of thyroid gland epithelial cell proliferation,epithelial,,,
regulation of polarized epithelial cell differentiation,epithelial,,,
epiblast cell-extraembryonic ectoderm cell signaling involved in anterior/posterior axis specification,extraembryonic ,,,
regulation of fat cell differentiation,fat ,,,
fat cell differentiation,fat ,,,
negative regulation of calcineurin-nfat signaling cascade,fat ,,,
positive regulation of fat cell differentiation,fat ,,,
negative regulation of fat cell differentiation,fat ,,,
positive regulation of calcineurin-nfat signaling cascade,fat ,,,
fat pad development,fat ,,,
white fat cell differentiation,fat ,white fat ,,
calcineurin-nfat signaling cascade,fat ,,,
negative regulation of fat cell proliferation,fat ,,,
regulation of white fat cell proliferation,fat ,white fat ,,
regulation of calcineurin-nfat signaling cascade,fat ,,,
positive regulation of fat cell proliferation,fat ,,,
positive regulation of white fat cell proliferation,fat ,white fat ,,
positive regulation of fat cell apoptotic process,fat ,,,
regulation of fat cell apoptotic process,fat ,,,
mammary gland fat development,fat ,,,
fibroblast migration,fibroblast,,,
positive regulation of fibroblast proliferation,fibroblast,,,
positive regulation of fibroblast migration,fibroblast,,,
positive regulation of fibroblast growth factor production,fibroblast,,,
negative regulation of fibroblast proliferation,fibroblast,,,
positive regulation of fibroblast apoptotic process,fibroblast,,,
cellular response to fibroblast growth factor stimulus,fibroblast,,,
positive regulation of fibroblast growth factor receptor signaling pathway,fibroblast,,,
negative regulation of fibroblast growth factor production,fibroblast,,,
positive regulation of myofibroblast differentiation,fibroblast,myofibroblast ,,
fibroblast proliferation,fibroblast,,,
negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation,fibroblast,ureteric bud ,,
fibroblast growth factor receptor signaling pathway,fibroblast,,,
negative regulation of fibroblast migration,fibroblast,,,
negative regulation of myofibroblast differentiation,fibroblast,myofibroblast ,,
fibroblast growth factor receptor signaling pathway involved in hemopoiesis,fibroblast,,,
fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development,fibroblast,,,
fibroblast growth factor receptor signaling pathway involved in mammary gland specification,fibroblast,,,
response to fibroblast growth factor,fibroblast,,,
regulation of fibroblast migration,fibroblast,,,
negative regulation of fibroblast apoptotic process,fibroblast,,,
negative regulation of fibroblast growth factor receptor signaling pathway,fibroblast,,,
positive regulation of mapkkk cascade by fibroblast growth factor receptor signaling pathway,fibroblast,,,
fibroblast activation,fibroblast,,,
negative regulation of cell chemotaxis to fibroblast growth factor,fibroblast,,,
regulation of fibroblast growth factor receptor signaling pathway,fibroblast,,,
regulation of fibroblast apoptotic process,fibroblast,,,
fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation,fibroblast,,,
regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation,fibroblast,,,
negative regulation of fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation,fibroblast,,,
metanephric interstitial fibroblast development,fibroblast,metanephric ,,
regulation of fibroblast proliferation,fibroblast,,,
fibroblast apoptotic process,fibroblast,,,
renal interstitial fibroblast development,fibroblast,,,
fibroblast growth factor receptor apoptotic signaling pathway,fibroblast,,,
myofibroblast differentiation,fibroblast,myofibroblast ,,
epicardium-derived cardiac fibroblast cell development,fibroblast,,,
regulation of myofibroblast contraction,fibroblast,myofibroblast ,,
dorsal root ganglion development,ganglion ,,,
retinal ganglion cell axon guidance,ganglion ,retinal ,,
sympathetic ganglion development,ganglion ,,,
trigeminal ganglion development,ganglion ,,,
regulation of retinal ganglion cell axon guidance,ganglion ,retinal ,,
positive regulation of retinal ganglion cell axon guidance,ganglion ,retinal ,,
facioacoustic ganglion development,ganglion ,,,
dorsal root ganglion morphogenesis,ganglion ,,,
ganglion development,ganglion ,,,
negative regulation of retinal ganglion cell axon guidance,ganglion ,retinal ,,
ganglion mother cell fate determination,ganglion ,,,
cranial ganglion development,ganglion ,,,
negative regulation of microglial cell activation,glial ,microglia,,
glial cell differentiation,glial ,,,
positive regulation of glial cell-derived neurotrophic factor secretion,glial ,,,
glial cell migration,glial ,,,
negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation,glial ,ureteric bud ,,
bergmann glial cell differentiation,glial ,,,
formation of radial glial scaffolds,glial ,radial glial ,,
glial cell-derived neurotrophic factor receptor signaling pathway,glial ,,,
cellular response to glial cell derived neurotrophic factor,glial ,,,
negative regulation of glial cell differentiation,glial ,,,
positive regulation of glial cell differentiation,glial ,,,
negative regulation of glial cell proliferation,glial ,,,
glial cell projection elongation,glial ,,,
regulation of glial cell proliferation,glial ,,,
positive regulation of microglial cell activation,glial ,microglia,,
regulation of microglial cell activation,glial ,microglia,,
positive regulation of glial cell proliferation,glial ,,,
microglial cell activation,glial ,microglia,,
positive regulation of microglial cell migration,glial ,microglia,,
microglial cell migration,glial ,microglia,,
glial cell apoptotic process,glial ,,,
forebrain radial glial cell differentiation,glial ,radial glial ,,
negative regulation of glial cell apoptotic process,glial ,,,
negative regulation of glial cell migration,glial ,,,
positive regulation of microglial cell mediated cytotoxicity,glial ,microglia,,
microglial cell proliferation,glial ,microglia,,
neuronal-glial interaction involved in hindbrain glial-mediated radial cell migration,glial ,neuron,,
regulation of glial cell differentiation,glial ,,,
radial glial cell differentiation,glial ,radial glial ,,
microglial cell activation involved in immune response,glial ,microglia,,
glial cell fate commitment,glial ,,,
glial cell proliferation,glial ,,,
glial cell development,glial ,,,
neuron-glial cell signaling,glial ,neuron,,
positive regulation of glial cell migration,glial ,,,
regulation of microglial cell migration,glial ,microglia,,
glial cell fate determination,glial ,,,
negative regulation of microglial cell migration,glial ,microglia,,
neuronal-glial interaction involved in cerebral cortex radial glia guided migration,glial ,neuron,,
positive regulation of glial cell apoptotic process,glial ,,,
establishment of glial blood-brain barrier,glial ,,,
cell-cell adhesion involved in neuronal-glial interactions involved in cerebral cortex radial glia guided migration,glial ,neuron,,
glial cell-neuron signaling,glial ,neuron,,
regulation of lung goblet cell differentiation,goblet ,,,
negative regulation of lung goblet cell differentiation,goblet ,,,
positive regulation of lung goblet cell differentiation,goblet ,,,
lung goblet cell differentiation,goblet ,,,
positive regulation of granulocyte chemotaxis,granulocyte,,,
positive regulation of granulocyte differentiation,granulocyte,,,
cellular response to granulocyte macrophage colony-stimulating factor stimulus,granulocyte,macrophage,,
negative regulation of granulocyte macrophage colony-stimulating factor production,granulocyte,macrophage,,
positive regulation of granulocyte colony-stimulating factor production,granulocyte,,,
regulation of granulocyte chemotaxis,granulocyte,,,
granulocyte differentiation,granulocyte,,,
positive regulation of granulocyte macrophage colony-stimulating factor production,granulocyte,macrophage,,
granulocyte migration,granulocyte,,,
negative regulation of granulocyte differentiation,granulocyte,,,
granulocyte chemotaxis,granulocyte,,,
regulation of granulocyte differentiation,granulocyte,,,
granulocyte colony-stimulating factor signaling pathway,granulocyte,,,
granulocyte macrophage colony-stimulating factor production,granulocyte,macrophage,,
granulocyte colony-stimulating factor production,granulocyte,,,
positive regulation of granulocyte macrophage colony-stimulating factor biosynthetic process,granulocyte,macrophage,,
negative regulation of granulocyte colony-stimulating factor production,granulocyte,,,
regulation of granulocyte macrophage colony-stimulating factor biosynthetic process,granulocyte,macrophage,,
regulation of hematopoietic stem cell differentiation,hematopoietic stem ,stem cell,,
hematopoietic stem cell homeostasis,hematopoietic stem ,stem cell,,
positive regulation of hematopoietic stem cell migration,hematopoietic stem ,stem cell,,
hematopoietic stem cell proliferation,hematopoietic stem ,stem cell,,
hematopoietic stem cell differentiation,hematopoietic stem ,stem cell,,
positive regulation of hematopoietic stem cell proliferation,hematopoietic stem ,stem cell,,
negative regulation of hematopoietic stem cell differentiation,hematopoietic stem ,stem cell,,
hematopoietic stem cell migration,hematopoietic stem ,stem cell,,
regulation of hematopoietic stem cell proliferation,hematopoietic stem ,stem cell,,
positive regulation of hematopoietic stem cell differentiation,hematopoietic stem ,stem cell,,
negative regulation of hematopoietic stem cell proliferation,hematopoietic stem ,stem cell,,
hepatoblast differentiation,hepatoblast,,,
hepatocyte proliferation,hepatocyte,,,
negative regulation of hepatocyte growth factor production,hepatocyte,,,
cellular response to hepatocyte growth factor stimulus,hepatocyte,,,
hepatocyte cell migration,hepatocyte,,,
hepatocyte differentiation,hepatocyte,,,
positive regulation of hepatocyte proliferation,hepatocyte,,,
hepatocyte growth factor receptor signaling pathway,hepatocyte,,,
hepatocyte apoptotic process,hepatocyte,,,
regulation of hepatocyte proliferation,hepatocyte,,,
negative regulation of hepatocyte proliferation,hepatocyte,,,
positive regulation of hepatocyte differentiation,hepatocyte,,,
response to hepatocyte growth factor,hepatocyte,,,
regulation of hepatocyte growth factor receptor signaling pathway,hepatocyte,,,
negative regulation of hepatocyte growth factor biosynthetic process,hepatocyte,,,
negative regulation of hepatocyte differentiation,hepatocyte,,,
negative regulation of hepatocyte apoptotic process,hepatocyte,,,
hepatocyte dedifferentiation,hepatocyte,,,
negative regulation of hepatocyte growth factor receptor signaling pathway,hepatocyte,,,
negative regulation of cellular response to hepatocyte growth factor stimulus,hepatocyte,,,
positive regulation of hepatocyte growth factor receptor signaling pathway,hepatocyte,,,
positive regulation of cellular response to hepatocyte growth factor stimulus,hepatocyte,,,
hepatocyte homeostasis,hepatocyte,,,
horizontal cell localization,horizontal cell,,,
positive regulation of keratinocyte proliferation,keratinocyte,,,
keratinocyte differentiation,keratinocyte,,,
regulation of keratinocyte differentiation,keratinocyte,,,
negative regulation of keratinocyte proliferation,keratinocyte,,,
positive regulation of keratinocyte differentiation,keratinocyte,,,
keratinocyte proliferation,keratinocyte,,,
negative regulation of keratinocyte migration,keratinocyte,,,
regulation of keratinocyte proliferation,keratinocyte,,,
keratinocyte development,keratinocyte,,,
keratinocyte migration,keratinocyte,,,
keratinocyte activation,keratinocyte,,,
positive regulation of keratinocyte migration,keratinocyte,,,
regulation of keratinocyte apoptotic process,keratinocyte,,,
negative regulation of keratinocyte apoptotic process,keratinocyte,,,
positive regulation of keratinocyte apoptotic process,keratinocyte,,,
negative regulation of keratinocyte differentiation,keratinocyte,,,
lymphocyte homeostasis,lymphocyte,,,
lymphocyte activation,lymphocyte,,,
lymphocyte chemotaxis,lymphocyte,,,
regulation of lymphocyte activation,lymphocyte,,,
negative regulation of lymphocyte migration,lymphocyte,,,
regulation of lymphocyte migration,lymphocyte,,,
negative regulation of lymphocyte proliferation,lymphocyte,,,
lymphocyte migration,lymphocyte,,,
lymphocyte migration into lymphoid organs,lymphocyte,lymphoid ,,
lymphocyte proliferation,lymphocyte,,,
lymphocyte differentiation,lymphocyte,,,
regulation of lymphocyte apoptotic process,lymphocyte,,,
lymphocyte migration into lymph node,lymphocyte,,,
positive regulation of lymphocyte activation,lymphocyte,,,
positive regulation of lymphocyte differentiation,lymphocyte,,,
regulation of lymphocyte differentiation,lymphocyte,,,
regulation of lymphocyte chemotaxis,lymphocyte,,,
positive regulation of lymphocyte apoptotic process,lymphocyte,,,
negative regulation of lymphocyte activation,lymphocyte,,,
positive regulation of lymphocyte migration,lymphocyte,,,
positive regulation of lymphocyte proliferation,lymphocyte,,,
lymphocyte aggregation,lymphocyte,,,
negative regulation of lymphocyte differentiation,lymphocyte,,,
negative regulation of lymphocyte chemotaxis,lymphocyte,,,
mucosal-associated lymphoid tissue development,lymphoid ,,,
lymphoid progenitor cell differentiation,lymphoid ,,,
hematopoietic or lymphoid organ development,lymphoid ,,,
lymphoid lineage cell migration into thymus,lymphoid ,,,
immune response in nasopharyngeal-associated lymphoid tissue,lymphoid ,,,
negative regulation of macrophage derived foam cell differentiation,macrophage,,,
negative regulation of macrophage chemotaxis,macrophage,,,
negative regulation of macrophage activation,macrophage,,,
immune complex clearance by monocytes and macrophages,macrophage,monocyte,,
regulation of immune complex clearance by monocytes and macrophages,macrophage,monocyte,,
macrophage derived foam cell differentiation,macrophage,,,
positive regulation of macrophage activation,macrophage,,,
positive regulation of macrophage proliferation,macrophage,,,
negative regulation of macrophage cytokine production,macrophage,,,
macrophage differentiation,macrophage,,,
positive regulation of macrophage derived foam cell differentiation,macrophage,,,
regulation of macrophage activation,macrophage,,,
macrophage cytokine production,macrophage,,,
